subj,spec,work,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14
217,5,6,1,1,0,0,1,0,0,0,1,0,0,0,1,0
218,22,3,1,1,0,0,1,1,0,1,0,0,0,0,0,0
219,17,8,0,0,0,1,1,0,0,0,1,0,1,0,1,0
220,25,8,1,1,0,0,0,1,0,0,1,0,0,0,0,0
221,4,7,0,1,0,0,0,0,0,0,0,0,1,1,0,0
222,18,3,1,1,0,0,1,1,0,0,0,0,0,1,0,0
223,7,3,1,1,0,0,0,0,0,0,1,0,1,0,1,0
224,16,8,0,1,1,0,0,0,1,0,0,0,0,1,0,0
225,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,18,5,1,0,0,1,0,0,1,0,0,0,1,0,0,0
227,4,8,0,0,0,0,1,1,0,0,0,0,1,0,0,0
228,4,8,0,1,0,1,0,0,1,0,0,1,1,0,0,0
229,25,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
230,7,8,0,1,0,1,0,0,0,0,0,0,0,0,1,0
231,7,6,1,1,0,1,0,0,0,0,0,1,0,0,1,0
232,11,8,0,0,0,0,0,0,0,1,1,0,1,0,1,0
233,4,7,0,1,0,1,0,1,1,0,0,0,1,0,0,0
234,4,8,0,1,0,0,1,1,0,0,1,0,1,0,0,0
235,25,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0
236,25,8,1,0,0,0,1,1,0,1,0,0,0,0,1,0
237,99,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,22,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0
239,99,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,7,8,0,1,0,1,0,0,0,0,0,0,0,0,1,0
241,5,6,0,1,0,0,1,1,0,0,1,0,0,0,0,0
242,25,8,0,1,0,1,1,1,0,1,0,0,0,0,0,0
243,5,8,0,0,0,0,0,0,0,0,1,1,0,0,0,1
244,10,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
245,9,7,1,1,0,0,0,1,0,1,1,0,0,0,0,0
246,25,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0
247,22,7,1,1,0,0,0,1,0,1,1,0,0,0,0,0
248,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,4,8,0,0,0,0,1,1,0,0,0,0,1,0,0,0
250,4,8,0,1,0,1,0,0,1,0,0,1,1,0,0,0
251,25,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
252,7,8,0,1,0,1,0,0,0,0,0,0,0,0,1,0
253,7,6,1,1,0,1,0,0,0,0,0,1,0,0,1,0
254,11,8,0,0,0,0,0,0,0,1,1,0,1,0,1,0
255,4,7,0,1,0,1,0,1,1,0,0,0,1,0,0,0
256,4,8,0,1,0,0,1,1,0,0,1,0,1,0,0,0
257,25,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0
258,25,8,1,0,0,0,1,1,0,1,0,0,0,0,1,0
259,99,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,22,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0
261,99,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,7,8,0,1,0,1,0,0,0,0,0,0,0,0,1,0
263,5,6,0,1,0,0,1,1,0,0,1,0,0,0,0,0
264,25,8,0,1,0,1,1,1,0,1,0,0,0,0,0,0
265,5,8,0,0,0,0,0,0,0,0,1,1,0,0,0,1
266,10,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
267,9,7,1,1,0,0,0,1,0,1,1,0,0,0,0,0
268,25,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0
269,22,7,1,1,0,0,0,1,0,1,1,0,0,0,0,0
270,25,6,1,0,0,0,0,0,1,0,1,0,0,0,1,1
271,4,8,1,0,0,0,1,1,0,1,0,0,0,0,1,0
272,1,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0
273,7,8,1,1,0,1,0,0,0,1,0,0,0,0,1,0
274,22,8,1,0,0,0,1,1,0,0,1,0,0,0,1,0
275,16,8,1,1,0,0,1,0,0,0,0,0,0,0,1,0
276,16,8,0,1,1,0,0,0,1,0,0,0,1,0,1,0
277,4,5,0,1,0,0,1,0,0,0,0,1,1,0,0,0
278,22,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
279,4,8,0,1,1,0,0,0,1,0,0,0,1,0,0,0
280,22,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0
281,18,5,1,1,0,0,0,0,0,0,0,1,1,0,0,0
282,25,8,0,0,0,0,1,1,1,0,1,0,0,1,0,0
283,21,8,0,1,0,0,1,0,0,1,0,0,1,0,1,0
284,5,8,1,1,0,0,0,0,0,0,1,0,0,0,0,1
285,4,8,0,1,0,1,0,0,0,0,0,1,0,0,0,0
286,18,8,1,1,0,0,1,0,0,0,0,0,0,0,0,0
287,7,8,0,1,1,0,0,0,1,0,0,0,1,0,1,0
288,25,8,1,1,0,0,1,0,0,0,0,0,0,0,1,1
289,8,8,1,1,0,1,1,0,0,0,1,0,0,0,0,0
290,18,2,0,1,0,1,1,0,0,0,0,0,0,0,1,0
291,7,6,0,1,1,0,1,0,1,0,0,0,1,0,0,0
292,17,8,0,1,0,0,1,0,0,0,0,1,0,0,1,1
293,7,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0
294,22,8,1,0,0,1,0,0,0,0,1,0,0,0,0,0
295,1,8,0,1,0,1,0,0,0,0,1,0,1,0,1,0
296,9,7,1,1,0,1,1,1,0,0,0,0,0,0,0,0
297,4,8,0,1,0,1,0,1,0,0,0,0,1,0,0,0
298,22,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0
299,25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,25,7,1,1,0,0,0,1,1,0,0,0,0,0,1,0
301,25,8,1,0,0,0,1,0,0,1,0,0,0,0,0,1
302,22,8,1,1,0,0,0,0,0,1,1,1,0,0,0,0
303,5,7,1,1,0,0,1,0,0,1,1,0,0,0,0,0
304,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
